SampleID	Sim_pheno
HG00096	-0.586692951866017
HG00097	-9.84906548415706
HG00099	16.1003744551732
HG00100	-6.96356796619318
HG00101	0.0453800981882351
HG00102	-7.96662638846581
HG00103	-1.97362927289494
HG00105	8.33170023086133
HG00106	-3.88471436902615
HG00108	3.94892517101885
HG00109	-8.27006635837241
HG00110	-0.553144793911353
HG00111	-4.77925503309095
HG00112	-15.8002260602642
HG00114	-3.06607533399718
HG00115	-1.98705064993079
HG00116	13.1747778723239
HG00117	-9.68952659364793
HG00118	-8.69230136078281
HG00119	-3.13649582313698
HG00120	-4.1655295137583
HG00121	9.69795060544155
HG00122	2.67984911708583
HG00123	-1.9159103062701
HG00125	-0.78012727235803
HG00126	6.3431682341703
HG00127	-9.26680542659702
HG00128	-8.54074863954017
HG00129	-13.2121173368076
HG00130	-8.7899531326762
HG00131	-9.14775843163409
HG00132	5.59276422327274
HG00133	-12.1646663957602
HG00136	-4.37259504231637
HG00137	-8.21423980921016
HG00138	-0.918095645205149
HG00139	1.41440135746894
HG00141	2.06661751093143
HG00142	-14.544803633508
HG00143	-0.306598631096006
HG00145	6.27644403941851
HG00146	-1.76340444007203
HG00148	2.36259380156788
HG00149	5.49299316331128
HG00150	-4.98233418843764
HG00151	6.20950740287989
HG00154	-15.2325565717495
HG00155	-18.7608014513689
HG00157	-3.92295390029743
HG00158	3.86458370567125
HG00159	12.0011984724087
HG00160	2.0874521110713
HG00171	-10.0667845901074
HG00173	-10.5203349750583
HG00174	1.50474117611851
HG00176	-7.33555601996668
HG00177	-16.9141884619704
HG00178	-3.6850976699242
HG00179	9.96229215696772
HG00180	1.76534627813229
HG00181	-17.3812266713605
HG00182	-8.99792189497435
HG00183	-8.30516242381727
HG00185	-1.65163354877278
HG00186	6.43785897580494
HG00187	-8.95975370951923
HG00188	-2.59785197685402
HG00189	0.511564978919544
HG00231	6.85083195884967
HG00232	-15.1293258536106
HG00233	-20.6175522063027
HG00234	-2.41330568955083
HG00235	-3.62413612543397
HG00236	-22.8226185672226
HG00238	-7.52552388514547
HG00239	-14.5023181670039
HG00240	13.9428444148511
HG00242	-6.18487606427519
HG00243	-1.51515795974142
HG00244	-2.8113637112829
HG00245	-11.1481187669506
HG00246	3.8062072167747
HG00250	-8.56989586872919
HG00251	-7.00225125633336
HG00252	14.9769757779544
